city,avocado_price
Albany,1.5610355029585792
Atlanta,1.3379585798816571
BaltimoreWashington,1.5342307692307684
Boise,1.348136094674556
Boston,1.5308875739644972
BuffaloRochester,1.5168343195266274
California,1.3953254437869818
Charlotte,1.6060355029585796
Chicago,1.5567751479289942
CincinnatiDayton,1.2092011834319527
Columbus,1.2527810650887576
DallasFtWorth,1.0855917159763315
Denver,1.2185798816568048
Detroit,1.2760946745562132
GrandRapids,1.5049999999999992
GreatLakes,1.3385502958579882
HarrisburgScranton,1.5132840236686393
HartfordSpringfield,1.8186390532544363
Houston,1.0479289940828398
Indianapolis,1.313994082840236
Jacksonville,1.5109467455621308
LasVegas,1.3809171597633145
LosAngeles,1.216005917159763
Louisville,1.286686390532545
MiamiFtLauderdale,1.428491124260355
Midsouth,1.4047633136094666
Nashville,1.2121005917159768
NewOrleansMobile,1.3047928994082851
NewYork,1.727573964497041
Northeast,1.6019230769230774
NorthernNewEngland,1.4773964497041419
Orlando,1.5062130177514785
Philadelphia,1.6321301775147927
PhoenixTucson,1.224437869822485
Pittsburgh,1.3643195266272197
Plains,1.4365088757396456
Portland,1.3177218934911241
RaleighGreensboro,1.555118343195266
RichmondNorfolk,1.2913313609467465
Roanoke,1.2479289940828397
Sacramento,1.6215680473372784
SanDiego,1.3981656804733738
SanFrancisco,1.8042011834319525
Seattle,1.4425739644970408
SouthCarolina,1.4032840236686406
SouthCentral,1.1012426035502958
Southeast,1.39801775147929
Spokane,1.4455917159763314
StLouis,1.4306213017751486
Syracuse,1.5203254437869826
Tampa,1.4088461538461536
TotalUS,1.319023668639053
West,1.2722189349112432
WestTexNewMexico,1.2617014925373136
